+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
+-------------------------------+-------------+------+-----------+
| A                             | SUBSTANTIVO | NOUN |           |
| À VISTA                       | SUBSTANTIVO | NOUN |           |
| ABACATE                       | SUBSTANTIVO | NOUN |           |
| ABACAXI                       | SUBSTANTIVO | NOUN |           |
| ABAJUR                        | SUBSTANTIVO | NOUN |           |
| ABATIMENTO                    | SUBSTANTIVO | NOUN |           |
| ABDÔMEN                       | SUBSTANTIVO | NOUN |           |
| ABELHA                        | SUBSTANTIVO | NOUN |           |
| ABERTURA                      | SUBSTANTIVO | NOUN |           |
| ABÓBORA1                      | SUBSTANTIVO | NOUN |           |
| ABÓBORA2                      | SUBSTANTIVO | NOUN |           |
| ABOBRINHA                     | SUBSTANTIVO | NOUN |           |
| ABOLIÇÃO                      | SUBSTANTIVO | NOUN |           |
| ABONO                         | SUBSTANTIVO | NOUN |           |
| ABORTO                        | SUBSTANTIVO | NOUN |           |
| ABRACADABRA                   | SUBSTANTIVO | NOUN |           |
| ABRAÇO                        | SUBSTANTIVO | NOUN |           |
| ABRAÇO2                       | SUBSTANTIVO | NOUN |           |
| ABRIDOR DE LATA1              | SUBSTANTIVO | NOUN |           |
| ABRIDOR DE LATA2              | SUBSTANTIVO | NOUN |           |
| ABRIGO                        | SUBSTANTIVO | NOUN |           |
| ABRIL                         | SUBSTANTIVO | NOUN |           |
| ABSORVENTE HIGIÊNICO          | SUBSTANTIVO | NOUN |           |
| AÇAÍ                          | SUBSTANTIVO | NOUN |           |
| ACAMPAMENTO                   | SUBSTANTIVO | NOUN |           |
| ACENTO                        | SUBSTANTIVO | NOUN |           |
| ACENTO                        | SUBSTANTIVO | NOUN |           |
| ACESSO                        | SUBSTANTIVO | NOUN |           |
| ACESSO                        | SUBSTANTIVO | NOUN |           |
| ACIDENTE                      | SUBSTANTIVO | NOUN |           |
| ACIDENTE                      | SUBSTANTIVO | NOUN |           |
| ACLIVE                        | SUBSTANTIVO | NOUN |           |
| ACNE                          | SUBSTANTIVO | NOUN |           |
| AÇO                           | SUBSTANTIVO | NOUN |           |
| AÇOITAR                       | SUBSTANTIVO | NOUN |           |
| AÇOITE                        | SUBSTANTIVO | NOUN |           |
| ACORDEÃO                      | SUBSTANTIVO | NOUN |           |
| ACORDO                        | SUBSTANTIVO | NOUN |           |
| AÇOUGUE                       | SUBSTANTIVO | NOUN |           |
| ACRE                          | SUBSTANTIVO | NOUN |           |
| ACROBATA                      | SUBSTANTIVO | NOUN |           |
| ACROBATA                      | SUBSTANTIVO | NOUN |           |
| ACUAR                         | SUBSTANTIVO | NOUN |           |
| AÇÚCAR                        | SUBSTANTIVO | NOUN |           |
| ACUPUNTURA                    | SUBSTANTIVO | NOUN |           |
| ADESIVO                       | SUBSTANTIVO | NOUN |           |
| ADEUS                         | SUBSTANTIVO | NOUN |           |
| ADJETIVOS                     | SUBSTANTIVO | NOUN |           |
| ADMINISTRAÇÃO                 | SUBSTANTIVO | NOUN |           |
| ADMISSÃO                      | SUBSTANTIVO | NOUN |           |
| ADOÇANTE                      | SUBSTANTIVO | NOUN |           |
| ADULTÉRIO                     | SUBSTANTIVO | NOUN |           |
| ADVOGADO                      | SUBSTANTIVO | NOUN |           |
| AEROBARCO                     | SUBSTANTIVO | NOUN |           |
| AEROBARCO                     | SUBSTANTIVO | NOUN |           |
| AEROMOÇA                      | SUBSTANTIVO | NOUN |           |
| AERONÁUTICA                   | SUBSTANTIVO | NOUN |           |
| AEROPORTO                     | SUBSTANTIVO | NOUN |           |
| AEROSSOL                      | SUBSTANTIVO | NOUN |           |
| AERÓSTATO                     | SUBSTANTIVO | NOUN |           |
| AFEIÇÃO                       | SUBSTANTIVO | NOUN |           |
| AFETO                         | SUBSTANTIVO | NOUN |           |
| AFILHADO                      | SUBSTANTIVO | NOUN |           |
| AFINIDADE                     | SUBSTANTIVO | NOUN |           |
| ÁFRICA                        | SUBSTANTIVO | NOUN |           |
| ÁFRICA DO SUL                 | SUBSTANTIVO | NOUN |           |
| AGOSTO                        | SUBSTANTIVO | NOUN |           |
| AGOSTO                        | SUBSTANTIVO | NOUN |           |
| AGRIÃO                        | SUBSTANTIVO | NOUN |           |
| AGRICULTURA                   | SUBSTANTIVO | NOUN |           |
| ÁGUA                          | SUBSTANTIVO | NOUN |           |
| AGUARDENTE                    | SUBSTANTIVO | NOUN |           |
| ÁGUIA                         | SUBSTANTIVO | NOUN |           |
| AGULHA                        | SUBSTANTIVO | NOUN |           |
| AGULHA                        | SUBSTANTIVO | NOUN |           |
| AIDS                          | SUBSTANTIVO | NOUN |           |
| AIPIM                         | SUBSTANTIVO | NOUN |           |
| ALAGOAS                       | SUBSTANTIVO | NOUN |           |
| ALARME                        | SUBSTANTIVO | NOUN |           |
| ÁLBUM                         | SUBSTANTIVO | NOUN |           |
| ALÇAPÃO                       | SUBSTANTIVO | NOUN |           |
| ALCE                          | SUBSTANTIVO | NOUN |           |
| ÁLCOOL                        | SUBSTANTIVO | NOUN |           |
| ALEGRIA                       | SUBSTANTIVO | NOUN |           |
| ALEGRIA                       | SUBSTANTIVO | NOUN |           |
| ALELUIA                       | SUBSTANTIVO | NOUN |           |
| ALEMANHA                      | SUBSTANTIVO | NOUN |           |
| ALERGIA                       | SUBSTANTIVO | NOUN |           |
| ALERGIA                       | SUBSTANTIVO | NOUN |           |
| ALFABETO                      | SUBSTANTIVO | NOUN |           |
| ALFACE                        | SUBSTANTIVO | NOUN |           |
| ALFAIATE                      | SUBSTANTIVO | NOUN |           |
| ALFINETE                      | SUBSTANTIVO | NOUN |           |
| ALFINETE DE FRALDA            | SUBSTANTIVO | NOUN |           |
| ALGEMAS                       | SUBSTANTIVO | NOUN |           |
