+--------------------+-------+--------+-----------------------------------------------------------+
| palavra            | nome  | flag   | descricao                                                 |
+--------------------+-------+--------+-----------------------------------------------------------+
| ABAFAR             | VERBO | VERB   |                                                           |
| ABANAR             | VERBO | VERB   |                                                           |
| ABANDONAR          | VERBO | VERB   |                                                           |
| ABANDONAR          | VERBO | VERB   |                                                           |
| ABDICAR            | VERBO | VERB   |                                                           |
| ABENÇOAR1          | VERBO | VERB   |                                                           |
| ABENÇOAR2          | VERBO | VERB   |                                                           |
| ABOCANHAR          | VERBO | VERB   |                                                           |
| ABONAR             | VERBO | VERB   |                                                           |
| ABORRECER          | VERBO | VERB   |                                                           |
| ABORTAR            | VERBO | VERB   |                                                           |
| ABORTAR            | VERBO | VERB   |                                                           |
| ABOTOAR            | VERBO | VERB   |                                                           |
| ABRAÇAR            | VERBO | VERB   |                                                           |
| ABREVIAR           | VERBO | VERB   |                                                           |
| ABRIGAR            | VERBO | VERB   |                                                           |
| ABRIR              | VERBO | VERB   |                                                           |
| ABRIR              | VERBO | VERB   |                                                           |
| ABRIR              | VERBO | VERB   |                                                           |
| ABRIR              | VERBO | VERB   |                                                           |
| ABRIR              | VERBO | VERB   |                                                           |
| ABSOLVER           | VERBO | VERB   |                                                           |
| ABSORVER           | VERBO | VERB   |                                                           |
| ABSORVER           | VERBO | VERB   |                                                           |
| ABSTER             | VERBO | VERB   |                                                           |
| ABUSAR             | VERBO | VERB   |                                                           |
| ACABAR             | VERBO | VERB   |                                                           |
| ACABAR             | VERBO | VERB   |                                                           |
| ACABAR             | VERBO | VERB   |                                                           |
| ACABAR             | VERBO | VERB   |                                                           |
| ACALENTAR          | VERBO | VERB   |                                                           |
| ACALMAR            | VERBO | VERB   |                                                           |
| ACALMAR            | VERBO | VERB   |                                                           |
| ACAMPAR            | VERBO | VERB   |                                                           |
| ACARICIAR          | VERBO | VERB   |                                                           |
| ACASALAR           | VERBO | VERB   |                                                           |
| ACATAR             | VERBO | VERB   |                                                           |
| ACAUTELAR          | VERBO | VERB   |                                                           |
| ACEITAR            | VERBO | VERB   |                                                           |
| ACELERAR           | VERBO | VERB   |                                                           |
| ACELERAR           | VERBO | VERB   |                                                           |
| ACENAR             | VERBO | VERB   |                                                           |
| ACENDER FAROL      | VERBO | VERB   |                                                           |
| ACENDER ISQUEIRO   | VERBO | VERB   |                                                           |
| ACENDER LUZ        | VERBO | VERB   |                                                           |
| ACENDER VELA       | VERBO | VERB   |                                                           |
| ACERCAR            | VERBO | VERB   |                                                           |
| ACERTAR            | VERBO | VERB   |                                                           |
| ACERTAR            | VERBO | VERB   |                                                           |
| ACHAR              | VERBO | VERB   |                                                           |
| ACHAR              | VERBO | VERB   |                                                           |
| ACOMODAR           | VERBO | VERB   |                                                           |
| ACOMPANHAR         | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ACOMPANHAR         | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ACONCHEGAR         | VERBO | VERB   |                                                           |
| ACONSELHAR         | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| ACONTECER          | VERBO | VERB   |                                                           |
| ACONTECER          | VERBO | VERB   |                                                           |
| ACONTECER          | VERBO | VERB   |                                                           |
| ACORDAR            | VERBO | VERB   |                                                           |
| ACORDAR            | VERBO | VERB   |                                                           |
| ACORDAR            | VERBO | VERB   |                                                           |
| ACORRENTAR         | VERBO | VERB   |                                                           |
| ACOSTUMAR          | VERBO | VERB   |                                                           |
| ACOTOVELAR         | VERBO | VERB   |                                                           |
| ACREDITAR          | VERBO | VERB   |                                                           |
| ACRESCENTAR        | VERBO | VERB   |                                                           |
| ACUMULAR           | VERBO | VERB   |                                                           |
| ACUSAR             | VERBO | VERB   |                                                           |
| ADERNAR            | VERBO | VERB   |                                                           |
| ADIAR              | VERBO | VERB   |                                                           |
| ADICIONAR          | VERBO | VERB   |                                                           |
| ADICIONAR          | VERBO | VERB   |                                                           |
| ADIVINHAR          | VERBO | VERB   |                                                           |
| ADMINISTRAR        | VERBO | VERB   |                                                           |
| ADMIRAR            | VERBO | VERB   |                                                           |
| ADMITIR            | VERBO | VERB   |                                                           |
| ADMITIR            | VERBO | VERB   |                                                           |
| ADOÇAR             | VERBO | VERB   |                                                           |
| ADOECER            | VERBO | VERB   |                                                           |
| ADOIDAR            | VERBO | VERB   |                                                           |
| ADORAR             | VERBO | VERB   |                                                           |
| ADORAR             | VERBO | VERB   |                                                           |
| ADORMECER          | VERBO | VERB   |                                                           |
| ADOTAR             | VERBO | VERB   |                                                           |
| ADULAR             | VERBO | VERB   |                                                           |
| ADVERTIR           | VERBO | VERB   |                                                           |
| ADVERTIR           | VERBO | VERB   |                                                           |
| AFASTAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| AFASTAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| AFERIR             | VERBO | VERB   |                                                           |
| AFERIR             | VERBO | VERB   |                                                           |
| AFIAR              | VERBO | VERB   |                                                           |
| AFIVELAR           | VERBO | VERB   |                                                           |
| AFIXAR             | VERBO | VERB   |                                                           |
| AFOCINHAR          | VERBO | VERB   |                                                           |
| AFOGAR             | VERBO | VERB   |                                                           |
| AFOGAR             | VERBO | VERB   |                                                           |
| AFROUXAR           | VERBO | VERB   |                                                           |
| AFUNDAR            | VERBO | VERB   |                                                           |
| AGACHAR            | VERBO | VERB   |                                                           |
| AGARRAR            | VERBO | VERB   |                                                           |
| AGASALHAR          | VERBO | VERB   |                                                           |
| AGENDAR            | VERBO | VERB   |                                                           |
| AGRADAR            | VERBO | VERB   |                                                           |
| AGRADECER          | VERBO | VERB   |                                                           |
| AGREDIR            | VERBO | VERB   |                                                           |
| AGRUPAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| AGUARDAR           | VERBO | VERB   |                                                           |
| AGÜENTAR1          | VERBO | VERB   |                                                           |
| AGÜENTAR2          | VERBO | VERB   |                                                           |
| AGÜENTAR3          | VERBO | VERB   |                                                           |
| AINDA NÃO          | VERBO | VERB   |                                                           |
| AJOELHAR           | VERBO | VERB   |                                                           |
| AJUDAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| AJUDAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| AJUNTAR            | VERBO | VERB   |                                                           |
| ALASTRAR           | VERBO | VERB   |                                                           |
| ALCANÇAR1          | VERBO | VERB   |                                                           |
| ALCANÇAR2          | VERBO | VERB   |                                                           |
| ALCANÇAR3          | VERBO | VERB   |                                                           |
| ALEIJAR            | VERBO | VERB   |                                                           |
| ALERTAR            | VERBO | VERB   |                                                           |
| ALERTAR            | VERBO | VERB   |                                                           |
| ALIMENTAR          | VERBO | VERB   |                                                           |
| ALISAR             | VERBO | VERB   |                                                           |
| ALISTAR            | VERBO | VERB   |                                                           |
| ALISTAR            | VERBO | VERB   |                                                           |
| ALIVIAR            | VERBO | VERB   |                                                           |
| ALMEJAR            | VERBO | VERB   |                                                           |
| ALMOÇAR            | VERBO | VERB   |                                                           |
| ALTERAR            | VERBO | VERB   |                                                           |
| ALTERNAR           | VERBO | VERB   |                                                           |
| ALUGAR             | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| AMAMENTAR          | VERBO | VERB   |                                                           |
| AMANHECER          | VERBO | VERB   |                                                           |
| AMANSAR            | VERBO | VERB   |                                                           |
